,200,1000,5000,20000,100000
DLmalloc,6571714,4265800,3210914,2672600,2103157
Talc,9244700,7975214,6185328,5515185,3767585
FRuSA,5109442,5187285,5286728,5108042,5126142
Jemalloc,10755271,10862742,9118357,4846900,1487900
System,9175528,9078357,4230200,3508057,2553828
