,200,1000,3000,10000,30000
DLmalloc,7252742,3176885,3668442,1652142,1830828
Talc,7624200,5711657,6689028,6502442,4053200
Talc v4,5555914,6086100,5246157,4976885,4423571
Talc v5.0,10728842,8222842,6237614,6849257,6216071
RLSF,9883900,3968842,7084728,6098971,4184657
Galloc,3154328,3094157,2206414,2585014,2794171
Buddy Alloc,10258800,6039771,3290000,5822442,6935928
