,200,1000,5000,20000,100000
DLmalloc,5069657,3369999,2479999,1555071,461957
Talc,7862671,6505485,4695571,2459828,416542
FRuSA,4491600,4609457,3969042,2256685,352557
Jemalloc,8634114,7873342,4313771,1443257,338199
System,6385956,5244242,3097342,1702699,416285
