DLmalloc,118,258,312,382,780
Talc,106,136,170,208,322
Talc v4,106,166,204,248,412
Talc v5.0,106,128,158,184,264
RLSF,112,138,168,198,284
Galloc,110,144,164,194,432
Buddy Alloc,110,138,152,160,252
