,200,1000,3000,10000,30000
DLmalloc,3500299,2280485,1860614,1315771,852442
Talc,4527642,3798257,3115814,2204785,1114428
Talc v4,3030013,2442614,2224900,1624014,1027899
RLSF,4140199,3397314,2853300,2039313,1218600
Galloc,3263042,2933999,2636800,1791199,1018199
Buddy Alloc,3807413,3084457,2727685,1978128,929771
